"key","where_it_appears","placeholders","english","current_ig","corrected"
"language_menu","General replies","","Which language would you like me to use? Reply with a number:\n\n1 — English\n2 — Nigerian Pidgin\n3 — Hausa\n4 — Igbo\n5 — Yorùbá","Kedu asụsụ ị chọrọ ka m jiri? Zaghachi na nọmba:\n\n1 — English\n2 — Nigerian Pidgin\n3 — Hausa\n4 — Igbo\n5 — Yorùbá",""
"language_set","General replies","","Done — I'll reply in English from now on. Say *""change language""* any time you want to switch.","Ọ gwụla — m ga-aza gị n'Igbo site ugbu a. Kwuo *""change language""* mgbe ọ bụla ị chọrọ ịgbanwe.",""
"language_voice_unavailable","General replies","{language} {language}","I understand you, but I cannot speak {language} on a call — only English. I can bring in a colleague who speaks {language}, or we can continue on WhatsApp where I can write to you in it. Which would you prefer?","I understand you, but I cannot speak {language} on a call — only English. I can bring in a colleague who speaks {language}, or we can continue on WhatsApp where I can write to you in it. Which would you prefer?",""
"flow_abandoned","Any form","","No problem — I've stopped that. Tell me any time you'd like to start again.","Nsogbu adịghị — akwụsịla m ya. Gwa m mgbe ọ bụla ị chọrọ ịmalitegharịa.",""
"flow_what_to_change","Any form","","No problem. Which part should I change?","Nsogbu adịghị. Kedu akụkụ ka m ga-agbanwe?",""
"enrol_name_ask","PLASCHEMA enrollment form","","Let's get you registered. What is your full name, as it should appear on your health card?","Ka anyị debanye aha gị. Gịnị bụ aha gị zuru ezu, dịka ọ ga-esi pụta na kaadị ahụike gị?",""
"enrol_name_two_words","PLASCHEMA enrollment form","","Could you give me your full name — first name and surname?","Biko nye m aha gị zuru ezu — aha mbụ na aha nna.",""
"enrol_name_digits","PLASCHEMA enrollment form","","That looks like it has numbers in it. What is your full name?","Nke a nwere ọnụọgụgụ n'ime ya. Gịnị bụ aha gị zuru ezu?",""
"enrol_age_ask","PLASCHEMA enrollment form","{name}","Thank you, {name}. How old are you, or what is your date of birth?","Daalụ, {name}. Afọ ole ka ị dị, ma ọ bụ ụbọchị ọmụmụ gị?",""
"enrol_age_implausible","PLASCHEMA enrollment form","","That age does not look right. How old are you, in years?","Afọ ahụ ezighi ezi. Afọ ole ka ị dị?",""
"enrol_age_unclear","PLASCHEMA enrollment form","","Could you tell me your age in years, or your date of birth?","Biko gwa m afọ ole ka ị dị, ma ọ bụ ụbọchị ọmụmụ gị.",""
"enrol_address_ask","PLASCHEMA enrollment form","","What is your street address, or the area where you live?","Gịnị bụ adreesị gị, ma ọ bụ ebe ị bi?",""
"enrol_address_short","PLASCHEMA enrollment form","","Could you give me a bit more — the street or the area you live in?","Biko tinye ntakịrị ọzọ — okporo ámá ma ọ bụ ebe ị bi.",""
"enrol_lga_ask","PLASCHEMA enrollment form","","Which Local Government Area do you live in? For example: Jos North, Jos South, Barkin Ladi, Mangu, Shendam.","Kedu Local Government Area ị bi? Dịka: Jos North, Jos South, Barkin Ladi, Mangu, Shendam.",""
"enrol_lga_unknown","PLASCHEMA enrollment form","{list}","I could not match that to a Plateau State LGA. Could you tell me which one you live in? The full list is: {list}.","Enweghị m ike ịchọta nke ahụ na LGA nke Plateau State. Kedu nke ị bi? Ndepụta zuru ezu bụ: {list}.",""
"enrol_plan_ask","PLASCHEMA enrollment form","","Which describes you best?\n\n1 — Formal Sector (you work for a company or government)\n2 — Informal Sector (self-employed, trader, farmer, artisan)\n3 — Equity Programme (free: pregnant, child under 5, over 65, living with a disability)\n4 — BHCPF (free, for the most vulnerable)\n\nReply with the number or the name.","Kedu nke kacha kọwaa gị?\n\n1 — Formal Sector (ị na-arụ ọrụ maka ụlọ ọrụ ma ọ bụ gọọmentị)\n2 — Informal Sector (onwe gị, onye ahịa, onye ọrụ ubi, onye ǹka)\n3 — Equity Programme (n'efu: dị ime, nwa n'okpuru afọ 5, karịa 65, onye nwere nkwarụ)\n4 — BHCPF (n'efu, maka ndị kachasị mkpa)\n\nZaa site na nọmba ma ọ bụ aha.",""
"enrol_plan_unclear","PLASCHEMA enrollment form","","I did not catch which plan that is. Reply 1 for Formal Sector, 2 for Informal Sector, 3 for the free Equity Programme, or 4 for BHCPF.","Aghọtaghị m nke bụ atụmatụ ahụ. Zaa 1 maka Formal Sector, 2 maka Informal Sector, 3 maka Equity Programme n'efu, ma ọ bụ 4 maka BHCPF.",""
"enrol_facility_ask","PLASCHEMA enrollment form","{lga} {options}","Which hospital or health centre in {lga} would you like as your primary facility?\n\nAccredited options: {options}.","Kedu ụlọ ọgwụ ma ọ bụ ebe ahụike na {lga} ị chọrọ ka isi ebe gị?\n\nNdị anabatara: {options}.",""
"enrol_facility_unaccredited","PLASCHEMA enrollment form","{lga} {options}","That one is not on the accredited list for {lga}, and a card issued against it would be refused at the desk. Please choose one of: {options}.","Nke ahụ adịghị na ndepụta anabatara maka {lga}, kaadị e nyere na ya ga-abụ nke a jụrụ na tebụl. Biko họrọ otu n'ime: {options}.",""
"enrol_nin_ask","PLASCHEMA enrollment form","","Last one, and it is optional: do you have your National Identification Number (NIN)? It speeds things up, but we can register you without it — just say ""no"".","Nke ikpeazụ, ọ bụghịkwa mmanye: ị nwere nọmba NIN gị? Ọ na-eme ka ihe dị ngwa, mana anyị nwere ike idebanye aha gị na-enweghị ya — kwuo ""mba"".",""
"enrol_nin_length","PLASCHEMA enrollment form","","A NIN is 11 digits. Could you check and send it again, or say ""no"" to continue without it?","NIN bụ ọnụọgụgụ 11. Biko lelee ma zipụ ya ọzọ, ma ọ bụ kwuo ""mba"" ka anyị gaa n'ihu na-enweghị ya.",""
"enrol_nin_none","PLASCHEMA enrollment form","","not provided","e nyeghị ya",""
"enrol_friend","PLASCHEMA enrollment form","","there","nwanne m",""
"enrol_summary","PLASCHEMA enrollment form","{address} {age} {facility} {free} {lga} {name} {nin} {plan}","Here is what I have — please check it carefully before I register you:\n\n• Name: {name}\n• Age / DOB: {age}\n• Address: {address}\n• LGA: {lga}\n• Plan: {plan}{free}\n• Primary facility: {facility}\n• NIN: {nin}\n\nIs all of that correct? Reply *yes* to register, or tell me what to change.","Nke a bụ ihe m nwetara — biko lelee ya nke ọma tupu m debanye aha gị:\n\n• Aha: {name}\n• Afọ / Ụbọchị ọmụmụ: {age}\n• Adreesị: {address}\n• LGA: {lga}\n• Atụmatụ: {plan}{free}\n• Isi ebe ahụike: {facility}\n• NIN: {nin}\n\nIhe niile ziri ezi? Zaa *yes* ka m debanye, ma ọ bụ gwa m ihe m ga-agbanwe.",""
"enrol_summary_free","PLASCHEMA enrollment form",""," (free — no payment)"," (n'efu — ọ dịghị ụgwọ)",""
"which_one_ask","Choosing which appointment","{list} {verb}","You have more than one coming up. Which would you like to {verb}?\n\n{list}\n\nReply with the number.","Ị nwere ihe karịrị otu na-abịa. Kedu nke ị chọrọ {verb}?\n\n{list}\n\nZaa site na nọmba.",""
"which_one_unclear","Choosing which appointment","{list}","I did not catch which one. Please reply with the number:\n\n{list}","Aghọtaghị m nke bụ nke. Biko zaa site na nọmba:\n\n{list}",""
"verb_move","Choosing which appointment · Moving an appointment","","move","ịkwaga",""
"verb_cancel","Cancelling an appointment · Choosing which appointment","","cancel","ịkagbu",""
"when_ask","Moving an appointment","{heading} {list}","{heading}Here is what is free:\n\n{list}\n\nReply with the number that suits you. If none of these work, say *""speak to an agent""* and a colleague will find something else.","{heading}Nke a bụ oge ndị nwere ohere:\n\n{list}\n\nZaa site na nọmba dabara gị. Ọ bụrụ na ọ dịghị nke dabara, kwuo *""speak to an agent""*.",""
"when_only_these","Moving an appointment","{list}","I can only move it to one of these, so that I do not put you down for a time that is already taken:\n\n{list}\n\nReply with the number, or say *""speak to an agent""* for anything else.","Enwere m ike ịkwaga ya naanị na otu n'ime ndị a, ka m ghara itinye gị n'oge e weerela:\n\n{list}\n\nZaa site na nọmba, ma ọ bụ kwuo *""speak to an agent""*.",""
"book_ask","Booking an appointment","{list} {service}","Happy to book you in for a {service}. Here is what is free:\n\n{list}\n\nReply with the number that suits you. If none of these work, say *""speak to an agent""* and a colleague will find something else.","Enwere m ike idebanye gị maka {service}. Nke a bụ oge ndị nwere ohere:\n\n{list}\n\nZaa site na nọmba dabara gị. Ọ bụrụ na ọ dịghị nke dabara, kwuo *""speak to an agent""*.",""
"book_only_these","Booking an appointment · Reserving a table","{list}","I can only book one of these, so that I do not put you down for a time that is already taken:\n\n{list}\n\nReply with the number, or say *""speak to an agent""* for anything else.","Enwere m ike idebanye naanị otu n'ime ndị a, ka m ghara itinye gị n'oge e weerela:\n\n{list}\n\nZaa site na nọmba, ma ọ bụ kwuo *""speak to an agent""*.",""
"table_when_ask","Reserving a table","{heading} {list}","{heading}Here is what is free:\n\n{list}\n\nReply with the number that suits you. If none of these work, say *""speak to an agent""* and a colleague will find something else.","{heading}Nke a bụ oge ndị nwere ohere:\n\n{list}\n\nZaa site na nọmba dabara gị. Ọ bụrụ na ọ dịghị nke dabara, kwuo *""speak to an agent""*.",""
"table_for","Reserving a table","{guests}","A table for {guests}. ","Tebụl maka {guests}. ",""
"party_ask","Reserving a table","","How many people will the table be for?","Mmadụ ole ka tebụl ahụ ga-abụrụ?",""
"party_too_many","Reserving a table","{max}","That is more than we can seat on one booking. For a party over {max}, say *""speak to an agent""* and a colleague will arrange it.","Nke ahụ karịrị ihe anyị nwere ike ịnọdụ na otu ndebanye. Maka ndị karịrị {max}, kwuo *""speak to an agent""*.",""
"party_too_few","Reserving a table","","A table needs at least one person. How many will be coming?","Tebụl chọrọ opekempe otu mmadụ. Mmadụ ole na-abịa?",""
"party_unclear","Reserving a table","","How many people should I book the table for? A number is fine.","Mmadụ ole ka m ga-edebanye tebụl maka ya? Nọmba ezuola.",""
"reschedule_summary","Moving an appointment","{from} {label} {to}","Just to confirm before I change anything:\n\n• {label}\n• From: {from}\n• To: {to}\n\nReply *yes* to move it, or tell me what to change.","Ka m kwado tupu m gbanwee ihe ọ bụla:\n\n• {label}\n• Site na: {from}\n• Ruo: {to}\n\nZaa *yes* ka m kwaga ya, ma ọ bụ gwa m ihe m ga-agbanwe.",""
"cancel_summary","Cancelling an appointment","{label} {when}","Just to be sure, because this cannot be undone:\n\n• {label}\n• {when}\n\nReply *yes* to cancel it, or *no* to leave it as it is.","Ka m jide n'aka, n'ihi na enweghị ike ịtụgharị ya:\n\n• {label}\n• {when}\n\nZaa *yes* ka m kagbuo ya, ma ọ bụ *no* ka ọ dịrị ka ọ dị.",""
"lost_track","Cancelling an appointment · Moving an appointment","","Sorry — I lost track of which one we were dealing with. Could you tell me again?","Ndo — echefuru m nke anyị na-ekwu maka ya. Biko gwa m ọzọ.",""
