"key","where_it_appears","placeholders","english","current_pcm","corrected"
"flow_abandoned","Any form","","No problem — I've stopped that. Tell me any time you'd like to start again.","No wahala — I don stop am. Tell me anytime wey you wan start again.",""
"flow_what_to_change","Any form","","No problem. Which part should I change?","No wahala. Which one make I change?",""
"enrol_name_ask","PLASCHEMA enrollment form","","Let's get you registered. What is your full name, as it should appear on your health card?","Make we register you. Wetin be your full name, as e go show for your health card?",""
"enrol_name_two_words","PLASCHEMA enrollment form","","Could you give me your full name — first name and surname?","Abeg give me your full name — first name and surname.",""
"enrol_name_digits","PLASCHEMA enrollment form","","That looks like it has numbers in it. What is your full name?","E get number inside am. Wetin be your full name?",""
"enrol_age_ask","PLASCHEMA enrollment form","{name}","Thank you, {name}. How old are you, or what is your date of birth?","Thank you, {name}. How old you be, abi wetin be your date of birth?",""
"enrol_age_implausible","PLASCHEMA enrollment form","","That age does not look right. How old are you, in years?","That age no correct. How many years you get?",""
"enrol_age_unclear","PLASCHEMA enrollment form","","Could you tell me your age in years, or your date of birth?","Abeg tell me your age for years, abi your date of birth.",""
"enrol_address_ask","PLASCHEMA enrollment form","","What is your street address, or the area where you live?","Wetin be your street address, abi the area wey you dey stay?",""
"enrol_address_short","PLASCHEMA enrollment form","","Could you give me a bit more — the street or the area you live in?","Abeg add small — the street abi area wey you dey live.",""
"enrol_lga_ask","PLASCHEMA enrollment form","","Which Local Government Area do you live in? For example: Jos North, Jos South, Barkin Ladi, Mangu, Shendam.","Which Local Government Area you dey stay? For example: Jos North, Jos South, Barkin Ladi, Mangu, Shendam.",""
"enrol_lga_unknown","PLASCHEMA enrollment form","{list}","I could not match that to a Plateau State LGA. Could you tell me which one you live in? The full list is: {list}.","I no fit match that one to any Plateau State LGA. Which one you dey stay? Full list na: {list}.",""
"enrol_plan_ask","PLASCHEMA enrollment form","","Which describes you best?\n\n1 — Formal Sector (you work for a company or government)\n2 — Informal Sector (self-employed, trader, farmer, artisan)\n3 — Equity Programme (free: pregnant, child under 5, over 65, living with a disability)\n4 — BHCPF (free, for the most vulnerable)\n\nReply with the number or the name.","Which one be you?\n\n1 — Formal Sector (you dey work for company abi government)\n2 — Informal Sector (self-employed, trader, farmer, artisan)\n3 — Equity Programme (free: pregnant, pikin wey never reach 5, over 65, person wey get disability)\n4 — BHCPF (free, for people wey need am pass)\n\nReply with the number abi the name.",""
"enrol_plan_unclear","PLASCHEMA enrollment form","","I did not catch which plan that is. Reply 1 for Formal Sector, 2 for Informal Sector, 3 for the free Equity Programme, or 4 for BHCPF.","I no catch which plan be that. Reply 1 for Formal Sector, 2 for Informal Sector, 3 for the free Equity Programme, abi 4 for BHCPF.",""
"enrol_facility_ask","PLASCHEMA enrollment form","{lga} {options}","Which hospital or health centre in {lga} would you like as your primary facility?\n\nAccredited options: {options}.","Which hospital abi health centre for {lga} you want as your primary facility?\n\nAccredited options: {options}.",""
"enrol_facility_unaccredited","PLASCHEMA enrollment form","{lga} {options}","That one is not on the accredited list for {lga}, and a card issued against it would be refused at the desk. Please choose one of: {options}.","That one no dey the accredited list for {lga}, and card wey dem issue with am go be refuse for desk. Abeg pick one of: {options}.",""
"enrol_nin_ask","PLASCHEMA enrollment form","","Last one, and it is optional: do you have your National Identification Number (NIN)? It speeds things up, but we can register you without it — just say ""no"".","Last one, and e be optional: you get your National Identification Number (NIN)? E dey fast the thing, but we fit register you without am — just talk ""no"".",""
"enrol_nin_length","PLASCHEMA enrollment form","","A NIN is 11 digits. Could you check and send it again, or say ""no"" to continue without it?","NIN na 11 digits. Abeg check am send again, abi talk ""no"" make we continue without am.",""
"enrol_nin_none","PLASCHEMA enrollment form","","not provided","e no give am",""
"enrol_friend","PLASCHEMA enrollment form","","there","my friend",""
"enrol_summary","PLASCHEMA enrollment form","{address} {age} {facility} {free} {lga} {name} {nin} {plan}","Here is what I have — please check it carefully before I register you:\n\n• Name: {name}\n• Age / DOB: {age}\n• Address: {address}\n• LGA: {lga}\n• Plan: {plan}{free}\n• Primary facility: {facility}\n• NIN: {nin}\n\nIs all of that correct? Reply *yes* to register, or tell me what to change.","Na wetin I get be this — abeg check am well before I register you:\n\n• Name: {name}\n• Age / DOB: {age}\n• Address: {address}\n• LGA: {lga}\n• Plan: {plan}{free}\n• Primary facility: {facility}\n• NIN: {nin}\n\nEverything correct? Reply *yes* make I register you, abi tell me wetin I go change.",""
"enrol_summary_free","PLASCHEMA enrollment form",""," (free — no payment)"," (free — you no go pay anything)",""
"which_one_ask","Choosing which appointment","{list} {verb}","You have more than one coming up. Which would you like to {verb}?\n\n{list}\n\nReply with the number.","You get pass one wey dey come. Which one you wan {verb}?\n\n{list}\n\nReply with the number.",""
"which_one_unclear","Choosing which appointment","{list}","I did not catch which one. Please reply with the number:\n\n{list}","I no catch which one. Abeg reply with the number:\n\n{list}",""
"verb_move","Choosing which appointment · Moving an appointment","","move","move",""
"verb_cancel","Cancelling an appointment · Choosing which appointment","","cancel","cancel",""
"when_ask","Moving an appointment","{heading} {list}","{heading}Here is what is free:\n\n{list}\n\nReply with the number that suits you. If none of these work, say *""speak to an agent""* and a colleague will find something else.","{heading}Na these ones free:\n\n{list}\n\nReply with the number wey suit you. If none of dem work, talk *""speak to an agent""* make colleague find another one.",""
"when_only_these","Moving an appointment","{list}","I can only move it to one of these, so that I do not put you down for a time that is already taken:\n\n{list}\n\nReply with the number, or say *""speak to an agent""* for anything else.","Na only one of these I fit move am go, so I no go put you for time wey person don take:\n\n{list}\n\nReply with the number, abi talk *""speak to an agent""* for anything else.",""
"book_ask","Booking an appointment","{list} {service}","Happy to book you in for a {service}. Here is what is free:\n\n{list}\n\nReply with the number that suits you. If none of these work, say *""speak to an agent""* and a colleague will find something else.","I fit book you for {service}. Na these ones free:\n\n{list}\n\nReply with the number wey suit you. If none of dem work, talk *""speak to an agent""* make colleague find another one.",""
"book_only_these","Booking an appointment · Reserving a table","{list}","I can only book one of these, so that I do not put you down for a time that is already taken:\n\n{list}\n\nReply with the number, or say *""speak to an agent""* for anything else.","Na only one of these I fit book, so I no go put you for time wey person don take:\n\n{list}\n\nReply with the number, abi talk *""speak to an agent""* for anything else.",""
"table_when_ask","Reserving a table","{heading} {list}","{heading}Here is what is free:\n\n{list}\n\nReply with the number that suits you. If none of these work, say *""speak to an agent""* and a colleague will find something else.","{heading}Na these ones free:\n\n{list}\n\nReply with the number wey suit you. If none of dem work, talk *""speak to an agent""* make colleague find another one.",""
"table_for","Reserving a table","{guests}","A table for {guests}. ","Table for {guests}. ",""
"party_ask","Reserving a table","","How many people will the table be for?","How many people the table go be for?",""
"party_too_many","Reserving a table","{max}","That is more than we can seat on one booking. For a party over {max}, say *""speak to an agent""* and a colleague will arrange it.","That one pass wetin we fit seat for one booking. If una pass {max}, talk *""speak to an agent""* make colleague arrange am.",""
"party_too_few","Reserving a table","","A table needs at least one person. How many will be coming?","Table need at least one person. How many people dey come?",""
"party_unclear","Reserving a table","","How many people should I book the table for? A number is fine.","How many people make I book the table for? Number go do.",""
"reschedule_summary","Moving an appointment","{from} {label} {to}","Just to confirm before I change anything:\n\n• {label}\n• From: {from}\n• To: {to}\n\nReply *yes* to move it, or tell me what to change.","Make I confirm before I change anything:\n\n• {label}\n• From: {from}\n• To: {to}\n\nReply *yes* make I move am, abi tell me wetin I go change.",""
"cancel_summary","Cancelling an appointment","{label} {when}","Just to be sure, because this cannot be undone:\n\n• {label}\n• {when}\n\nReply *yes* to cancel it, or *no* to leave it as it is.","Make I sure, because we no fit undo am:\n\n• {label}\n• {when}\n\nReply *yes* make I cancel am, abi *no* make e remain as e dey.",""
"lost_track","Cancelling an appointment · Moving an appointment","","Sorry — I lost track of which one we were dealing with. Could you tell me again?","Sorry — I don lose track of which one we dey talk about. Abeg tell me again.",""
