"key","where_it_appears","placeholders","english","current_ha","corrected"
"enrol_lga_ask","PLASCHEMA enrollment form","","Which Local Government Area do you live in? For example: Jos North, Jos South, Barkin Ladi, Mangu, Shendam.","A wace Karamar Hukuma kake zama? Misali: Jos North, Jos South, Barkin Ladi, Mangu, Shendam.",""
"enrol_lga_unknown","PLASCHEMA enrollment form","{list}","I could not match that to a Plateau State LGA. Could you tell me which one you live in? The full list is: {list}.","Ban gane wannan a matsayin Karamar Hukuma ta Jihar Filato ba.\nKa zabi daga cikin: {list}.",""
"enrol_plan_ask","PLASCHEMA enrollment form","","Which describes you best?\n\n1 — Formal Sector (you work for a company or government)\n2 — Informal Sector (self-employed, trader, farmer, artisan)\n3 — Equity Programme (free: pregnant, child under 5, over 65, living with a disability)\n4 — BHCPF (free, for the most vulnerable)\n\nReply with the number or the name.","Wanne ya fi dacewa da kai?\n\n1 — Formal Sector (kana aiki da kamfani ko gwamnati)\n2 — Informal Sector (kai da kanka, dan kasuwa, manomi, masani)\n3 — Equity Programme (kyauta: mai ciki, yaro kasa da shekara 5, sama da 65, mai nakasa)\n4 — BHCPF (kyauta, ga wadanda suka fi bukata)\n\nKa amsa da lamba ko suna.",""
"enrol_plan_unclear","PLASCHEMA enrollment form","","I did not catch which plan that is. Reply 1 for Formal Sector, 2 for Informal Sector, 3 for the free Equity Programme, or 4 for BHCPF.","Ban gane wanne shiri ba ne. Ka amsa 1 don Formal Sector, 2 don Informal Sector, 3 don Equity Programme na kyauta, ko 4 don BHCPF.",""
"enrol_facility_ask","PLASCHEMA enrollment form","{lga} {options}","Which hospital or health centre in {lga} would you like as your primary facility?\n\nAccredited options: {options}.","Wanne asibiti ko cibiyar lafiya a {lga} kake son ya zama babbar cibiyarka?\n\nWadanda aka amince da su: {options}.",""
"enrol_facility_unaccredited","PLASCHEMA enrollment form","{lga} {options}","That one is not on the accredited list for {lga}, and a card issued against it would be refused at the desk. Please choose one of: {options}.","Wannan ba ya cikin jerin da aka amince da su a {lga}, kuma za a ki karbar katin a teburin. Ka zabi daya daga cikin: {options}.",""
"enrol_nin_ask","PLASCHEMA enrollment form","","Last one, and it is optional: do you have your National Identification Number (NIN)? It speeds things up, but we can register you without it — just say ""no"".","Na karshe, kuma ba dole ba ne: kana da lambar NIN? Tana saurin aiki, amma za mu iya yi maka rijista ba tare da ita ba — ka ce ""a'a"".",""
"enrol_nin_length","PLASCHEMA enrollment form","","A NIN is 11 digits. Could you check and send it again, or say ""no"" to continue without it?","NIN lambobi 11 ne. Ka duba ka sake aikawa, ko ka ce ""a'a"" mu ci gaba ba tare da ita ba.",""
"enrol_nin_none","PLASCHEMA enrollment form","","not provided","ba a bayar ba",""
"enrol_friend","PLASCHEMA enrollment form","","there","abokina",""
"enrol_summary","PLASCHEMA enrollment form","{address} {age} {facility} {free} {lga} {name} {nin} {plan}","Here is what I have — please check it carefully before I register you:\n\n• Name: {name}\n• Age / DOB: {age}\n• Address: {address}\n• LGA: {lga}\n• Plan: {plan}{free}\n• Primary facility: {facility}\n• NIN: {nin}\n\nIs all of that correct? Reply *yes* to register, or tell me what to change.","Ga abin da na samu — ka duba shi da kyau kafin in yi maka rijista:\n\n• Suna: {name}\n• Shekaru / Ranar haihuwa: {age}\n• Adireshi: {address}\n• Karamar Hukuma: {lga}\n• Shiri: {plan}{free}\n• Babbar cibiya: {facility}\n• NIN: {nin}\n\nDuk daidai ne? Ka amsa *yes* in yi rijista, ko ka gaya mini abin da zan canza.",""
"enrol_summary_free","PLASCHEMA enrollment form",""," (free — no payment)"," (kyauta — babu biyan kudi)",""
"which_one_ask","Choosing which appointment","{list} {verb}","You have more than one coming up. Which would you like to {verb}?\n\n{list}\n\nReply with the number.","Kana da fiye da daya mai zuwa. Wanne kake son {verb}?\n\n{list}\n\nKa amsa da lamba.",""
"which_one_unclear","Choosing which appointment","{list}","I did not catch which one. Please reply with the number:\n\n{list}","Ban gane wanne ba. Ka amsa da lamba:\n\n{list}",""
"verb_move","Choosing which appointment · Moving an appointment","","move","canza",""
"verb_cancel","Cancelling an appointment · Choosing which appointment","","cancel","soke",""
"when_ask","Moving an appointment","{heading} {list}","{heading}Here is what is free:\n\n{list}\n\nReply with the number that suits you. If none of these work, say *""speak to an agent""* and a colleague will find something else.","{heading}Ga lokutan da suke a bude:\n\n{list}\n\nKa amsa da lambar da ta dace da kai. Idan babu wanda ya dace, ka ce *""speak to an agent""* abokin aiki zai nemo wani.",""
"when_only_these","Moving an appointment","{list}","I can only move it to one of these, so that I do not put you down for a time that is already taken:\n\n{list}\n\nReply with the number, or say *""speak to an agent""* for anything else.","Zan iya canza shi zuwa daya daga cikin wadannan kawai, don kada in sa ka a lokacin da aka riga aka dauka:\n\n{list}\n\nKa amsa da lamba, ko ka ce *""speak to an agent""*.",""
"book_ask","Booking an appointment","{list} {service}","Happy to book you in for a {service}. Here is what is free:\n\n{list}\n\nReply with the number that suits you. If none of these work, say *""speak to an agent""* and a colleague will find something else.","Zan iya yi maka rijistar {service}. Ga lokutan da suke a bude:\n\n{list}\n\nKa amsa da lambar da ta dace da kai. Idan babu wanda ya dace, ka ce *""speak to an agent""*.",""
"book_only_these","Booking an appointment · Reserving a table","{list}","I can only book one of these, so that I do not put you down for a time that is already taken:\n\n{list}\n\nReply with the number, or say *""speak to an agent""* for anything else.","Zan iya yin rijista a daya daga cikin wadannan kawai, don kada in sa ka a lokacin da aka riga aka dauka:\n\n{list}\n\nKa amsa da lamba, ko ka ce *""speak to an agent""*.",""
"table_when_ask","Reserving a table","{heading} {list}","{heading}Here is what is free:\n\n{list}\n\nReply with the number that suits you. If none of these work, say *""speak to an agent""* and a colleague will find something else.","{heading}Ga lokutan da suke a bude:\n\n{list}\n\nKa amsa da lambar da ta dace da kai. Idan babu wanda ya dace, ka ce *""speak to an agent""*.",""
"table_for","Reserving a table","{guests}","A table for {guests}. ","Tebur na mutane {guests}. ",""
"party_ask","Reserving a table","","How many people will the table be for?","Mutane nawa za su zauna a teburin?",""
"party_too_many","Reserving a table","{max}","That is more than we can seat on one booking. For a party over {max}, say *""speak to an agent""* and a colleague will arrange it.","Wannan ya fi yawan da za mu iya zama a rijista daya. Idan kun fi {max}, ka ce *""speak to an agent""* abokin aiki zai shirya.",""
"party_too_few","Reserving a table","","A table needs at least one person. How many will be coming?","Tebur yana bukatar akalla mutum daya. Mutane nawa za su zo?",""
"party_unclear","Reserving a table","","How many people should I book the table for? A number is fine.","Mutane nawa zan yi rijistar tebur? Lamba ta isa.",""
"reschedule_summary","Moving an appointment","{from} {label} {to}","Just to confirm before I change anything:\n\n• {label}\n• From: {from}\n• To: {to}\n\nReply *yes* to move it, or tell me what to change.","Bari in tabbatar kafin in canza komai:\n\n• {label}\n• Daga: {from}\n• Zuwa: {to}\n\nKa amsa *yes* in canza shi, ko ka gaya mini abin da zan canza.",""
"cancel_summary","Cancelling an appointment","{label} {when}","Just to be sure, because this cannot be undone:\n\n• {label}\n• {when}\n\nReply *yes* to cancel it, or *no* to leave it as it is.","Bari in tabbata, saboda ba za a iya mayar da shi ba:\n\n• {label}\n• {when}\n\nKa amsa *yes* in soke shi, ko *no* ya kasance kamar yadda yake.",""
"lost_track","Cancelling an appointment · Moving an appointment","","Sorry — I lost track of which one we were dealing with. Could you tell me again?","Yi hakuri — na rasa wanne muke magana a kai. Ka sake gaya mini.",""
