"key","where_it_appears","placeholders","english","current_yo","corrected"
"enrol_summary","PLASCHEMA enrollment form","{address} {age} {facility} {free} {lga} {name} {nin} {plan}","Here is what I have — please check it carefully before I register you:\n\n• Name: {name}\n• Age / DOB: {age}\n• Address: {address}\n• LGA: {lga}\n• Plan: {plan}{free}\n• Primary facility: {facility}\n• NIN: {nin}\n\nIs all of that correct? Reply *yes* to register, or tell me what to change.","Èyí ni ohun tí mo ní — jọ̀wọ́ ṣàyẹ̀wò rẹ̀ dáadáa kí n tó forúkọ rẹ sílẹ̀:\n\n• Orúkọ: {name}\n• Ọdún / Ọjọ́ ìbí: {age}\n• Àdírẹ́sì: {address}\n• Ìjọba Ìbílẹ̀: {lga}\n• Ètò: {plan}{free}\n• Ibùdó àkọ́kọ́: {facility}\n• NIN: {nin}\n\nGbogbo rẹ̀ tọ̀nà? Dáhùn *yes* kí n forúkọ sílẹ̀, tàbí sọ ohun tí n óò yí padà.",""
"enrol_summary_free","PLASCHEMA enrollment form",""," (free — no payment)"," (ọ̀fẹ́ — kò sí owó kankan)",""
"which_one_ask","Choosing which appointment","{list} {verb}","You have more than one coming up. Which would you like to {verb}?\n\n{list}\n\nReply with the number.","O ní ju ọ̀kan lọ tí ń bọ̀. Èwo ni o fẹ́ {verb}?\n\n{list}\n\nDáhùn pẹ̀lú nọ́ḿbà.",""
"which_one_unclear","Choosing which appointment","{list}","I did not catch which one. Please reply with the number:\n\n{list}","Mi ò gbọ́ èwo. Jọ̀wọ́ dáhùn pẹ̀lú nọ́ḿbà:\n\n{list}",""
"verb_move","Choosing which appointment · Moving an appointment","","move","yí padà",""
"verb_cancel","Cancelling an appointment · Choosing which appointment","","cancel","fagilé",""
"when_ask","Moving an appointment","{heading} {list}","{heading}Here is what is free:\n\n{list}\n\nReply with the number that suits you. If none of these work, say *""speak to an agent""* and a colleague will find something else.","{heading}Àwọn àkókò tí ó ṣófo ni wọ̀nyí:\n\n{list}\n\nDáhùn pẹ̀lú nọ́ḿbà tí ó bá ọ mu. Bí kò bá sí èyí tí ó bá ọ mu, sọ *""speak to an agent""*.",""
"when_only_these","Moving an appointment","{list}","I can only move it to one of these, so that I do not put you down for a time that is already taken:\n\n{list}\n\nReply with the number, or say *""speak to an agent""* for anything else.","Ọ̀kan nínú wọ̀nyí nìkan ni mo lè yí i padà sí, kí n má bàa fi ọ́ sí àkókò tí a ti gbà:\n\n{list}\n\nDáhùn pẹ̀lú nọ́ḿbà, tàbí sọ *""speak to an agent""*.",""
"book_ask","Booking an appointment","{list} {service}","Happy to book you in for a {service}. Here is what is free:\n\n{list}\n\nReply with the number that suits you. If none of these work, say *""speak to an agent""* and a colleague will find something else.","Mo lè forúkọ rẹ sílẹ̀ fún {service}. Àwọn àkókò tí ó ṣófo ni wọ̀nyí:\n\n{list}\n\nDáhùn pẹ̀lú nọ́ḿbà tí ó bá ọ mu. Bí kò bá sí èyí, sọ *""speak to an agent""*.",""
"book_only_these","Booking an appointment · Reserving a table","{list}","I can only book one of these, so that I do not put you down for a time that is already taken:\n\n{list}\n\nReply with the number, or say *""speak to an agent""* for anything else.","Ọ̀kan nínú wọ̀nyí nìkan ni mo lè forúkọ sílẹ̀, kí n má bàa fi ọ́ sí àkókò tí a ti gbà:\n\n{list}\n\nDáhùn pẹ̀lú nọ́ḿbà, tàbí sọ *""speak to an agent""*.",""
"table_when_ask","Reserving a table","{heading} {list}","{heading}Here is what is free:\n\n{list}\n\nReply with the number that suits you. If none of these work, say *""speak to an agent""* and a colleague will find something else.","{heading}Àwọn àkókò tí ó ṣófo ni wọ̀nyí:\n\n{list}\n\nDáhùn pẹ̀lú nọ́ḿbà tí ó bá ọ mu. Bí kò bá sí èyí, sọ *""speak to an agent""*.",""
"table_for","Reserving a table","{guests}","A table for {guests}. ","Tábìlì fún {guests}. ",""
"party_ask","Reserving a table","","How many people will the table be for?","Ènìyàn mélòó ni tábìlì náà yóò jẹ́ fún?",""
"party_too_many","Reserving a table","{max}","That is more than we can seat on one booking. For a party over {max}, say *""speak to an agent""* and a colleague will arrange it.","Ìyẹn ju èyí tí a lè gbà sí ìforúkọsílẹ̀ kan. Fún àwùjọ tí ó ju {max} lọ, sọ *""speak to an agent""*.",""
"party_too_few","Reserving a table","","A table needs at least one person. How many will be coming?","Tábìlì nílò ó kéré tán ènìyàn kan. Ènìyàn mélòó ni yóò wá?",""
"party_unclear","Reserving a table","","How many people should I book the table for? A number is fine.","Ènìyàn mélòó ni kí n forúkọ tábìlì sílẹ̀ fún? Nọ́ḿbà tó.",""
"reschedule_summary","Moving an appointment","{from} {label} {to}","Just to confirm before I change anything:\n\n• {label}\n• From: {from}\n• To: {to}\n\nReply *yes* to move it, or tell me what to change.","Jẹ́ kí n jẹ́rìí kí n tó yí ohunkóhun padà:\n\n• {label}\n• Láti: {from}\n• Sí: {to}\n\nDáhùn *yes* kí n yí i padà, tàbí sọ ohun tí n óò yí padà.",""
"cancel_summary","Cancelling an appointment","{label} {when}","Just to be sure, because this cannot be undone:\n\n• {label}\n• {when}\n\nReply *yes* to cancel it, or *no* to leave it as it is.","Jẹ́ kí n dá mi lójú, nítorí a kò lè yí i padà:\n\n• {label}\n• {when}\n\nDáhùn *yes* kí n fagilé rẹ̀, tàbí *no* kí ó wà bí ó ti wà.",""
"lost_track","Cancelling an appointment · Moving an appointment","","Sorry — I lost track of which one we were dealing with. Could you tell me again?","Má bínú — mo ti gbàgbé èwo ni a ń sọ̀rọ̀ nípa rẹ̀. Jọ̀wọ́ sọ fún mi lẹ́ẹ̀kansí.",""
